YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2019,6,1,3.72,246.94,37.93295180829999
2019,6,2,3.26,246.75,11.733553907873997
2019,6,3,1.73,238.06,0.0
2019,6,4,2.24,234.0,0.0
2019,6,5,8.6,229.31,1546.688381449999
2019,6,6,8.06,268.25,1678.6000560500004
2019,6,7,6.81,255.94,581.5507576534003
2019,6,8,3.74,248.31,32.409502200099986
2019,6,9,2.41,237.81,0.18903340332200003
2019,6,10,2.21,231.69,0.0
2019,6,11,3.53,224.06,26.228964375130005
2019,6,12,5.44,202.38,356.1402752590002
2019,6,13,4.44,121.31,73.3495094666
2019,6,14,2.48,103.62,0.12392958195099998
2019,6,15,4.88,131.44,235.97325552200007
2019,6,16,2.95,182.56,2.3782114858900005
2019,6,17,8.5,162.5,1637.6360667300005
2019,6,18,5.48,228.44,260.97066154860005
2019,6,19,6.14,227.25,573.1158349430006
2019,6,20,3.86,228.69,104.63937744050004
2019,6,21,6.76,230.12,802.7248809950003
2019,6,22,6.08,241.44,584.6566915950004
2019,6,23,5.25,243.56,325.417986762
2019,6,24,4.2,230.56,146.98864105879997
2019,6,25,4.65,237.69,229.67066158020006
2019,6,26,3.02,248.75,0.7704254578799997
2019,6,27,2.76,244.62,0.0
2019,6,28,1.77,249.0,0.0
2019,6,29,1.69,245.12,0.0
2019,6,30,3.38,237.25,22.552255541210002
2019,7,1,2.14,227.19,0.06112411022
2019,7,2,3.97,230.25,120.82480823890006
2019,7,3,4.47,239.25,189.55348508799983
2019,7,4,2.38,243.19,0.35809413318000005
2019,7,5,1.27,238.81,0.0
2019,7,6,2.33,238.81,1.12936129826
2019,7,7,3.69,234.69,56.878582111569976
2019,7,8,3.94,230.69,85.59793152998
2019,7,9,3.82,236.19,24.323582230200003
2019,7,10,3.2,237.44,7.389408398919998
2019,7,11,1.95,239.38,0.0
2019,7,12,1.88,227.56,0.0
2019,7,13,4.1,233.25,90.93272194039999
2019,7,14,3.02,245.12,1.9078978679899998
2019,7,15,2.87,243.81,0.0
2019,7,16,2.81,235.81,1.7041227132269998
2019,7,17,1.91,238.19,0.0
2019,7,18,4.2,234.94,127.61284061789996
2019,7,19,5.46,227.81,395.80454404880004
2019,7,20,6.41,224.12,516.2700610229999
2019,7,21,6.95,257.12,915.6890197619999
2019,7,22,5.22,248.81,331.07515974599977
2019,7,23,4.21,248.06,104.27147316952004
2019,7,24,3.55,250.5,29.451184826279977
2019,7,25,4.45,248.44,155.92210601800005
2019,7,26,2.95,251.12,2.7071691310749997
2019,7,27,2.11,250.38,0.9258603850410002
2019,7,28,3.98,252.38,70.23815036719999
2019,7,29,2.24,279.0,0.0
2019,7,30,6.23,208.94,645.429975586
2019,7,31,3.62,268.38,17.778483582330008
2019,8,1,3.83,241.88,63.89197070899995
2019,8,2,3.2,234.81,5.806005618403997
2019,8,3,2.68,238.38,0.3105404385006001
2019,8,4,2.53,240.88,0.22708231209000004
2019,8,5,4.09,240.06,103.71404772069997
2019,8,6,3.75,233.0,72.1490134999
2019,8,7,3.34,233.88,16.09215371279801
2019,8,8,6.68,234.31,735.2678216620003
2019,8,9,4.26,268.06,121.89352756669994
2019,8,10,4.29,289.31,101.48770837200006
2019,8,11,7.62,233.25,1071.9167736199997
2019,8,12,5.8,207.06,438.78423889400005
2019,8,13,3.34,187.56,28.088004977082004
2019,8,14,2.52,188.81,0.17250296120000003
2019,8,15,2.17,227.06,0.06112411022
2019,8,16,2.7,230.19,1.16597124115
2019,8,17,2.52,229.69,0.0327166605
2019,8,18,3.02,220.62,6.636824311889998
2019,8,19,4.11,223.75,84.98705236574007
2019,8,20,3.61,238.56,34.35191299421002
2019,8,21,3.12,243.62,5.133479207368001
2019,8,22,2.39,243.69,0.24078987837999996
2019,8,23,2.59,239.44,0.12438006401999999
2019,8,24,2.19,233.44,-0.003930675983
2019,8,25,2.8,229.44,4.787455544514001
2019,8,26,3.91,242.06,63.3052024127
2019,8,27,5.23,249.75,325.74218842500005
2019,8,28,6.85,227.38,799.0269939809998
2019,8,29,4.03,157.25,84.03566852609998
2019,8,30,2.27,99.69,-0.0008539999276
2019,8,31,3.79,210.38,62.6468687672
